Estate Avenue,Lower Portion,PKR2.2 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",280 Sq. Yd.,For Sale,Karachi,+92 3295376300
Estate Avenue,Upper Portion,PKR2.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",270 Sq. Yd.,For Sale,Karachi,+92 3438917259
Estate Avenue,Upper Portion,PKR2.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",270 Sq. Yd.,For Sale,Karachi,+92 3376697624
Estate Avenue,Lower Portion,PKR2.1 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3276652544
Estate Avenue,Upper Portion,PKR3.65 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",460 Sq. Yd.,For Sale,Karachi,+92 3346426165
Arka Marketing Associates & Construction,Upper Portion,PKR99 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3387690114
ALAM Real Estate & Builders,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",256 Sq. Yd.,For Sale,Karachi,+92 3363726356
Shah Real Estate,Lower Portion,PKR1.8 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3304887237
MZ Associates,Upper Portion,PKR2.25 Crore,"North Nazimabad, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3405265779
Khalifa Enterprises,Upper Portion,PKR97 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",156 Sq. Yd.,For Sale,Karachi,+92 3410158716
Imaan International Real Estate,Upper Portion,PKR90 Lakh,"North Nazimabad, Karachi, Sindh",142 Sq. Yd.,For Sale,Karachi,+92 3409432586
Imaan International Real Estate,Upper Portion,PKR2.1 Crore,"Scheme 33, Karachi, Sindh",333 Sq. Yd.,For Sale,Karachi,+92 3295322754
Ideas Estate,Lower Portion,PKR4.25 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",267 Sq. Yd.,For Sale,Karachi,+92 3175732164
Sufi Associates,Upper Portion,PKR1.9 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",240 Sq. Yd.,For Sale,Karachi,+92 3135246381
Sufi Associates,Upper Portion,PKR1.35 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",170 Sq. Yd.,For Sale,Karachi,+92 3428137696
Grand Enterprises & Naseem Builders,Upper Portion,PKR5 Crore,"Federal B Area, Karachi, Sindh",600 Sq. Yd.,For Sale,Karachi,+92 3294818304
Javed Real Estate & Developer,Lower Portion,PKR1.57 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",200 Sq. Yd.,For Sale,Karachi,+92 3174060063
