M&M ESTATE & Builders,House,PKR8.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
M&M ESTATE & Builders,House,PKR7.25 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Shan Associates,House,PKR3 Crore,"Bani Gala, Islamabad, Islamabad Capital",10 Marla,For Sale
S  M Enterprises,House,PKR4.75 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Fatima-Tu-Zahra Real Estate,House,PKR2.6 Crore,"G-15, Islamabad, Islamabad Capital",8 Marla,For Sale
Euro Homes,House,PKR2 Crore,"Bahria Town, Islamabad, Islamabad Capital",5 Marla,For Sale
Euro Homes,House,PKR4.85 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Nexone,Flat,PKR58 Lakh,"D-17, Islamabad, Islamabad Capital",5.4 Marla,For Sale
Chakdara Property Centre,House,PKR6 Crore,"E-18, Islamabad, Islamabad Capital",1 Kanal,For Sale
Sadeed Property Advisor,House,PKR2.45 Crore,"G-13, Islamabad, Islamabad Capital",4 Marla,For Sale
Penta Properties,Flat,PKR95 Lakh,"DHA Defence, Islamabad, Islamabad Capital",5.1 Marla,For Sale
Idea  Real Estate,Flat,PKR11.35 Crore,"Constitution Avenue, Islamabad, Islamabad Capital",12.5 Marla,For Sale
Tufail Builders,House,PKR4.5 Crore,"G-13, Islamabad, Islamabad Capital",8 Marla,For Sale
Askari Inn Real estate,Flat,PKR84.7 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2.7 Marla,For Sale
Nadir Estate,House,PKR2.65 Crore,"DHA Defence, Islamabad, Islamabad Capital",4 Marla,For Sale
Euro Homes,House,PKR4.3 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Executive Estate & Marketing,Flat,PKR47.15 Lakh,"G-13, Islamabad, Islamabad Capital",5.1 Marla,For Sale
Executive Estate & Marketing,Flat,PKR55.35 Lakh,"G-13, Islamabad, Islamabad Capital",6 Marla,For Sale
Executive Estate & Marketing,Flat,PKR71.75 Lakh,"G-13, Islamabad, Islamabad Capital",7.8 Marla,For Sale
Executive Estate & Marketing,Flat,PKR84.05 Lakh,"G-13, Islamabad, Islamabad Capital",9.1 Marla,For Sale
Executive Estate & Marketing,House,PKR1.85 Crore,"H-13, Islamabad, Islamabad Capital",5 Marla,For Sale
Kashif Builders & Real Estate Consultant,House,PKR5.5 Crore,"Soan Garden, Islamabad, Islamabad Capital",15.5 Marla,For Sale
Saad Associate,Flat,PKR1.08 Crore,"D-17, Islamabad, Islamabad Capital",5.6 Marla,For Sale
Saad Associate,Flat,PKR1.95 Crore,"D-17, Islamabad, Islamabad Capital",7.8 Marla,For Sale
Farhan Associates (Warda Hamna),Flat,PKR3.15 Crore,"G-11, Islamabad, Islamabad Capital",7.2 Marla,For Sale
NA Property & Builders,House,PKR4.9 Crore,"E-11, Islamabad, Islamabad Capital",8 Marla,For Sale
Euro Homes,House,PKR5 Crore,"Bahria Town, Islamabad, Islamabad Capital",11 Marla,For Sale
Askari Inn Real estate,Flat,PKR44 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2.1 Marla,For Sale
Executive Estate & Marketing,House,PKR12.5 Crore,"G-9, Islamabad, Islamabad Capital",14.2 Marla,For Sale
La Vista World,House,PKR1.6 Crore,"Korang Town, Islamabad, Islamabad Capital",6 Marla,For Sale
District 92,Flat,PKR2.79 Crore,"Gulberg, Islamabad, Islamabad Capital",8.3 Marla,For Sale
Ideas Real Estate Marketing,Flat,PKR45 Lakh,"B-17, Islamabad, Islamabad Capital",4.2 Marla,For Sale
District 92,Flat,PKR1.81 Crore,"Gulberg, Islamabad, Islamabad Capital",5.4 Marla,For Sale
Fair Deal Real Estate,House,PKR9 Crore,"D-12, Islamabad, Islamabad Capital",14 Marla,For Sale
ALRAHMAN Builders and Property Adviser,House,PKR4.25 Crore,"Zaraj Housing Scheme, Islamabad, Islamabad Capital",12 Marla,For Sale
Maddock Marketing,House,PKR27 Crore,"DHA Defence, Islamabad, Islamabad Capital",4 Kanal,For Sale
Shapers Real Estate (Private) Limited,Flat,PKR4 Crore,"Constitution Avenue, Islamabad, Islamabad Capital",3.6 Marla,For Sale
Mehran Real Estate,House,PKR4.6 Crore,"Soan Garden, Islamabad, Islamabad Capital",15 Marla,For Sale
Askari Inn Real estate,Flat,PKR1.61 Crore,"DHA Defence, Islamabad, Islamabad Capital",5.1 Marla,For Sale
Askari Inn Real estate,Flat,PKR1.13 Crore,"DHA Defence, Islamabad, Islamabad Capital",6 Marla,For Sale
Marriott Estate & Builders,House,PKR60 Crore,"E-7, Islamabad, Islamabad Capital",1.6 Kanal,For Sale
Marriott Estate & Builders,House,PKR22 Crore,"F-8, Islamabad, Islamabad Capital",1.2 Kanal,For Sale
Marriott Estate & Builders,House,PKR60 Crore,"F-8, Islamabad, Islamabad Capital",3.3 Kanal,For Sale
Cloud Tower 1,Flat,PKR3.4 Crore,"B-17, Islamabad, Islamabad Capital",10.8 Marla,For Sale
Cloud Tower 1,Flat,PKR87.03 Lakh,"B-17, Islamabad, Islamabad Capital",4.4 Marla,For Sale
IMEC Real Estate,Flat,PKR2 Crore,"G-11, Islamabad, Islamabad Capital",7 Marla,For Sale
District 92,Flat,PKR1.81 Crore,"Gulberg, Islamabad, Islamabad Capital",5.4 Marla,For Sale
Tahir Estate & Builders,House,PKR7.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",1 Kanal,For Sale
Al Ahmed Real Estate Consultant,House,PKR4.6 Crore,"Bahria Town, Islamabad, Islamabad Capital",10 Marla,For Sale
Askari Inn Real estate,Flat,PKR1.61 Crore,"DHA Defence, Islamabad, Islamabad Capital",5.1 Marla,For Sale
Askari Inn Real estate,Flat,PKR84.7 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2.7 Marla,For Sale
Marriott Estate & Builders,House,PKR40 Crore,"F-8, Islamabad, Islamabad Capital",2.5 Kanal,For Sale
J7 Emporium,Flat,PKR99.82 Lakh,"B-17, Islamabad, Islamabad Capital",3.2 Marla,For Sale
Estate Eyes,Flat,PKR3.5 Crore,"F-11, Islamabad, Islamabad Capital",17.8 Marla,For Sale
Awais Builders and Property Advisor,House,PKR6.2 Crore,"G-11, Islamabad, Islamabad Capital",8 Marla,For Sale
Home First,House,PKR4.05 Crore,"G-13, Islamabad, Islamabad Capital",8 Marla,For Sale
Askari Inn Real estate,Flat,PKR69.95 Lakh,"DHA Defence, Islamabad, Islamabad Capital",3.9 Marla,For Sale
Better Homes Real Estate,House,PKR3.3 Crore,"D-12, Islamabad, Islamabad Capital",4 Marla,For Sale
Nazami Real Estate & Builders,House,PKR2.8 Crore,"I-10, Islamabad, Islamabad Capital",5.6 Marla,For Sale
Nazami Real Estate & Builders,House,PKR3.8 Crore,"I-10, Islamabad, Islamabad Capital",6 Marla,For Sale
Nazami Real Estate & Builders,House,PKR2.38 Crore,"I-10, Islamabad, Islamabad Capital",5 Marla,For Sale
Nazami Real Estate & Builders,House,PKR3.6 Crore,"I-10, Islamabad, Islamabad Capital",6 Marla,For Sale
IMEC Real Estate,Flat,PKR62 Lakh,"B-17, Islamabad, Islamabad Capital",3.1 Marla,For Sale
IMEC Real Estate,Flat,PKR65 Lakh,"B-17, Islamabad, Islamabad Capital",4.7 Marla,For Sale
MM Real Estate,House,PKR2.2 Crore,"I-14, Islamabad, Islamabad Capital",5 Marla,For Sale
